,0,category,2cat
0,WHITE HANGING HEART T-LIGHT HOLDER,This product falls under the category of Decor.,Decor
1,WHITE METAL LANTERN,This product can be classified as a Lighting item.,"['Lighting', 'item']"
2,CREAM CUPID HEARTS COAT HANGER,This product belongs to the category of Home Decor.,"['Home', 'Decor']"
3,KNITTED UNION FLAG HOT WATER BOTTLE,This product falls under the category of Wellness.,Wellness
4,RED WOOLLY HOTTIE WHITE HEART.,"This product would fall under the category of ""Wellness"" as it is a hot water bottle designed to provide warmth and comfort.","['warmth', 'comfort']"
5,SET 7 BABUSHKA NESTING BOXES,This product falls under the Decor category.,Decor
6,GLASS STAR FROSTED T-LIGHT HOLDER,"This product falls under the category of Decor, specifically in the subcategory of Lighting.","['subcategory', 'Lighting']"
7,HAND WARMER UNION JACK,"This product falls under the category of ""Wellness.""",Wellness
8,HAND WARMER RED POLKA DOT,This product belongs in the category of Wellness.,Wellness
9,ASSORTED COLOUR BIRD ORNAMENT,This product falls under the category of Decor.,Decor
10,POPPY'S PLAYHOUSE BEDROOM ,Decor,Decor
11,POPPY'S PLAYHOUSE KITCHEN,Decor,Decor
12,FELTCRAFT PRINCESS CHARLOTTE DOLL,"This product falls under the category of ""Toys & Games"".","['Toys', 'Games']"
13,IVORY KNITTED MUG COSY ,This product falls under the category of Drinkware.,Drinkware
14,BOX OF 6 ASSORTED COLOUR TEASPOONS,"This product falls into the category of ""Drinkware"".",Drinkware
15,BOX OF VINTAGE JIGSAW BLOCKS ,Decor,Decor
16,BOX OF VINTAGE ALPHABET BLOCKS,Decor,Decor
17,HOME BUILDING BLOCK WORD,Decor,Decor
18,LOVE BUILDING BLOCK WORD,Decor,Decor
19,RECIPE BOX WITH METAL HEART,This product falls into the category of **Kitchen & Dining or Recipe Organization**.,"['*', '*']"
20,DOORMAT NEW ENGLAND,"This product falls under the category of ""Decor.""",Decor
21,JAM MAKING SET WITH JARS,This product falls under the category of - Kitchenware.,Kitchenware
22,RED COAT RACK PARIS FASHION,Decor,Decor
23,YELLOW COAT RACK PARIS FASHION,This product can be classified under the category of Decor.,Decor
24,BLUE COAT RACK PARIS FASHION,"This product falls under the category of ""Decor"" as it is a coat rack used for organizing and displaying coats and other clothing items.","['clothing', 'items']"
25,BATH BUILDING BLOCK WORD,This product belongs to the category of Decor.,Decor
26,ALARM CLOCK BAKELIKE PINK,"This product falls under the category of ""Decor.""",Decor
